,names,rates,director,actors
0,Portrait de la jeune fille en feu,8.1,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino"
1,Sebun,8.6,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
2,The Greatest Showman,7.6,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya"
3,Zombieland: Double Tap,6.7,Ruben Fleischer,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin"
4,Harî Pottâ to honoo no goburetto,7.7,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes"
5,Munich,7.5,Steven Spielberg,"Eric Bana, Daniel Craig, Marie-Josée Croze, Ciarán Hinds"
6,Longmire,8.3,,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Cassidy Freeman"
7,Gemini Man,5.7,Ang Lee,"Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong"
8,Rocketman,7.3,Dexter Fletcher,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard"
9,Besuto kiddo,7.2,John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove"
10,Deadpool,8.0,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
11,Banshee,8.4,,"Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison"
12,Emma.,6.7,Autumn de Wilde,"Anya Taylor-Joy, Johnny Flynn, Mia Goth, Angus Imrie"
13,Marcella,7.4,,"Anna Friel, Ray Panthaki, Jack Doolan, Jamie Bamber"
14,NCIS: Los Angeles,6.7,,"Chris O'Donnell, Daniela Ruah, Barrett Foa, Linda Hunt"
15,Banana Split,6.2,Benjamin Kasulke,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts"
16,The Baby-Sitters Club,7.4,,"Sophie Grace, Momona Tamada, Shay Rudolph, Malia Baker"
17,How to Build a Girl,5.8,Coky Giedroyc,"Beanie Feldstein, Cleo, Dónal Finn, Paddy Considine"
18,Porutagaisuto,7.3,Tobe Hooper,"JoBeth Williams, Heather O'Rourke, Craig T. Nelson, Beatrice Straight"
19,Harriet,6.5,Kasi Lemmons,"Cynthia Erivo, Janelle Monáe, Leslie Odom Jr., Joe Alwyn"
20,Love on the Spectrum,8.7,,
21,The Hunger Games,7.2,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci"
22,Charmed,7.1,,"Holly Marie Combs, Alyssa Milano, Brian Krause, Rose McGowan"
23,Alien,8.4,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
24,Rogue,,M.J. Bassett,"Megan Fox, Jessica Sutton, Calli Taylor, Philip Winchester"
25,Bob's Burgers,8.1,,"H. Jon Benjamin, Dan Mintz, Eugene Mirman, John Roberts"
26,Bloodline,8.0,,"Kyle Chandler, Ben Mendelsohn, Linda Cardellini, Sissy Spacek"
27,Friday Night Lights,8.6,,"Kyle Chandler, Connie Britton, Zach Gilford, Aimee Teegarden"
28,Supaidâman: Fâ Furomu Hômu,7.5,Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei"
29,Indian Matchmaking,6.0,,"Sima Taparia, Vyasar M. Ganesan, Ankita Bansal, Nadia Jagessar"
30,Desuparêto na tsuma tachi,7.4,,"Teri Hatcher, Felicity Huffman, Marcia Cross, Eva Longoria"
31,The Fault in Our Stars,7.7,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern"
32,Black Panther,7.3,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
33,Alita: Battle Angel,7.3,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali"
34,Blue Bloods,7.6,,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou"
35,Fantastic Beasts: The Crimes of Grindelwald,6.6,David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Johnny Depp"
36,Dynasty,7.3,,"Elizabeth Gillies, Rafael de la Fuente, Robert Christopher Riley, Sam Adegoke"
37,Swallow,6.4,Carlo Mirabella-Davis,"Haley Bennett, Austin Stowell, Denis O'Hare, Elizabeth Marvel"
38,The Leftovers,8.3,,"Justin Theroux, Amy Brenneman, Christopher Eccleston, Liv Tyler"
39,Onward,7.4,Dan Scanlon,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer"
40,Fringe,8.4,,"Anna Torv, Joshua Jackson, John Noble, Jasika Nicole"
41,Almost Famous,7.9,Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand"
42,Kimi no namae de Boku wo yonde,7.9,Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar"
43,Suicide Squad,6.0,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis"
44,"Murder, She Wrote",7.0,,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum"
45,See,7.6,,"Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo"
46,Black Sails,8.2,,"Jessica Parker Kennedy, Toby Stephens, Hannah New, Zach McGowan"
47,Jane the Virgin,7.8,,"Gina Rodriguez, Andrea Navedo, Yael Grobglas, Ivonne Coll"
48,Jigoku no mokushiroku,8.4,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
49,Eabendâ,4.1,M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone, Dev Patel"
50,Kakkou no su no ue de,8.7,Milos Forman,"Jack Nicholson, Louise Fletcher, Will Sampson, Michael Berryman"
51,Fantasy Island,4.9,Jeff Wadlow,"Michael Peña, Maggie Q, Lucy Hale, Austin Stowell"
