,names,rates,director,actors
52,GLOW,8.0,,"Alison Brie, Marc Maron, Betty Gilpin, Britt Baron"
53,Mary ni Kubittake,7.1,,"Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans"
54,Firefly,9.0,,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin"
55,Jurashikku warudo,7.0,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer"
56,Chilling Adventures of Sabrina,7.6,,"Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo"
57,FBI,6.7,,"Missy Peregrym, Zeeko Zaki, Ebonee Noel, Jeremy Sisto"
58,Searching,7.6,Aneesh Chaganty,"John Cho, Debra Messing, Joseph Lee, Michelle La"
59,Penny Dreadful,8.2,,"Josh Hartnett, Timothy Dalton, Eva Green, Reeve Carney"
60,Back to the Future Part II,7.8,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson"
61,Dîpu inpakuto,6.2,Mimi Leder,"Robert Duvall, Téa Leoni, Elijah Wood, Morgan Freeman"
62,Good Will Hunting,8.3,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård"
63,Vera,7.9,,"Brenda Blethyn, Jon Morrison, Riley Jones, Kenny Doughty"
64,Between Two Worlds,5.2,,"Philip Quast, Hermione Norris, Sara Wiseman, Aaron Jeffery"
65,Narcos: Mexico,8.4,,"Diego Luna, Scoot McNairy, José María Yazpik, Fermín Martínez"
66,Ghostbusters,7.8,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis"
67,The Fifth Element,7.7,Luc Besson,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm"
68,Saikojiman Gwaenchanha,9.2,,"Soo-hyun Kim, Ye-ji Seo, Jeong-se Oh, Park Gyuyoung"
69,The Magicians,7.6,,"Stella Maeve, Hale Appleman, Arjun Gupta, Summer Bishil"
70,Perfect,4.5,James Bridges,"John Travolta, Jamie Lee Curtis, Ramey Ellis, Alma Beltran"
71,The Eternals,,Chloé Zhao,"Angelina Jolie, Salma Hayek, Richard Madden, Gemma Chan"
72,Underwater,5.8,William Eubank,"Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller"
73,Hell on Wheels,8.3,,"Anson Mount, Colm Meaney, Robin McLeavy, Phil Burke"
74,Jurassic World: Dominion,,Colin Trevorrow,"Bryce Dallas Howard, Chris Pratt, Dichen Lachman, Jake Johnson"
75,A Star Is Born,7.7,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg"
76,Last Man Standing,7.6,,"Tim Allen, Nancy Travis, Hector Elizondo, Christoph Sanders"
77,Hunter x Hunter,8.9,,"Issei Futamata, Megumi Han, Cristina Valenzuela, Mariya Ise"
78,Good Witch,7.3,,"Catherine Bell, Catherine Disher, James Denton, Kylee Evans"
79,Ocean's Eight,6.2,Gary Ross,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling"
80,Bijo to yajuu,7.1,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad"
81,Avengers: Age of Ultron,7.3,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
82,American Psycho,7.6,Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
83,Taboo,8.4,,"Tom Hardy, David Hayman, Jonathan Pryce, Oona Chaplin"
84,The Fall,8.2,,"Gillian Anderson, Jamie Dornan, John Lynch, Aisling Franciosi"
85,Full Metal Jacket,8.3,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin"
86,Reign,7.5,,"Adelaide Kane, Megan Follows, Celina Sinden, Torrance Coombs"
87,ブラウン神父,7.7,,"Mark Williams, Sorcha Cusack, John Burton, Jack Deam"
88,Spaceballs,7.1,Mel Brooks,"Mel Brooks, John Candy, Rick Moranis, Bill Pullman"
89,Showgirls,4.9,Paul Verhoeven,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer"
90,Just Go with It,6.4,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman"
91,V fô vendetta,8.2,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea"
92,Puratôn,8.1,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David"
93,American Gods,7.8,,"Ricky Whittle, Emily Browning, Crispin Glover, Yetide Badaki"
94,Uoriâzu,7.6,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler"
95,Galaxy Quest,7.3,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub"
96,Terminator 2: Judgment Day,8.5,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
97,Entourage,8.4,,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara"
98,The Lion King,8.5,,"Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg"
99,Heat,8.2,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
100,Scary Stories to Tell in the Dark,6.2,André Øvredal,"Zoe Margaret Colletti, Michael Garza, Gabriel Rush, Austin Abrams"
101,Honest Thief,,Mark Williams,"Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan"
102,X-Men,7.4,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen"
103,The Hateful Eight,7.8,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
104,Bodyguard,8.1,,"Richard Madden, Sophie Rundle, Vincent Franklin, Ash Tandon"
105,A Quiet Place Part II,,John Krasinski,"Emily Blunt, Millicent Simmonds, Cillian Murphy, Noah Jupe"
106,Valley of the Gods,4.3,Lech Majewski,"Josh Hartnett, Jaime Ray Newman, John Malkovich, John Rhys-Davies"
107,Us,6.9,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker"
108,Wonder Woman,7.4,Patty Jenkins,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis"
109,Angel,7.9,,"David Boreanaz, Charisma Carpenter, Alexis Denisof, J. August Richards"
110,Harii Pottâ to shi no hihô part 1,7.7,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy"
111,The Godfather: Part III,7.6,Francis Ford Coppola,"Al Pacino, Diane Keaton, Andy Garcia, Talia Shire"
112,Slender Man,3.2,Sylvain White,"Joey King, Julia Goldani Telles, Jaz Sinclair, Annalise Basso"
113,Aian Man,7.9,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges"
114,The Heiress,8.1,William Wyler,"Olivia de Havilland, Montgomery Clift, Ralph Richardson, Miriam Hopkins"
115,Remî no oishii resutoran,8.0,,"Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm"
116,The Magnificent Seven,6.9,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio"
117,Yesterday,6.8,Danny Boyle,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell"
118,She Dies Tomorrow,5.2,Amy Seimetz,"Kate Lyn Sheil, Jane Adams, Kentucker Audley, Katie Aselton"
119,Harii Pottâ to fushichô no kishidan,7.5,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson"
120,A Quiet Place,7.5,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe"
121,The Meg,5.6,Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis"
122,Battoman vs Sûpâman Jasutisu no tanjou,6.4,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg"
123,Central Park,6.5,,"Kristen Bell, Tituss Burgess, Daveed Diggs, Josh Gad"
124,12 Angry Men,8.9,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
125,"Roswell, New Mexico",6.2,,"Jeanine Mason, Nathan Parsons, Michael Vlamis, Lily Cowles"
126,La La Land,8.0,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
127,Jumanji: Welcome to the Jungle,6.9,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black"
128,Hot Fuzz,7.8,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy"
129,The Rookie,8.1,,"Nathan Fillion, Alyssa Diaz, Richard T. Jones, Titus Makin Jr."
130,SEAL Team,7.5,,"David Boreanaz, Max Thieriot, Jessica Paré, Neil Brown Jr."
131,Cheers,7.8,,"Ted Danson, Rhea Perlman, John Ratzenberger, George Wendt"
132,The End of the F***ing World,8.1,,"Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley"
133,Grimm,7.8,,"David Giuntoli, Russell Hornsby, Silas Weir Mitchell, Sasha Roiz"
134,Superstore,7.8,,"America Ferrera, Ben Feldman, Lauren Ash, Colton Dunn"
135,Ana to Yuki no Joou,7.4,,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad"
136,Dark Waters,7.6,Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman"
137,Tori,7.7,Alfred Hitchcock,"Rod Taylor, Tippi Hedren, Jessica Tandy, Suzanne Pleshette"
138,American Crime Story,8.4,,"Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi"
139,Slasher,6.7,,"Dean McDermott, Joanne Vannicola, Paula Brancati, Christopher Jacot"
140,Six Feet Under,8.7,,"Peter Krause, Michael C. Hall, Frances Conroy, Lauren Ambrose"
141,Contagion,6.7,Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow"
142,Humans,8.0,,"Katherine Parkinson, Gemma Chan, Lucy Carless, Tom Goodman-Hill"
143,Shazam!,7.1,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer"
144,Kingsman: The Secret Service,7.7,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine"
145,Legion,8.3,,"Dan Stevens, Rachel Keller, Aubrey Plaza, Bill Irwin"
146,Tôtaru Rikôru,7.5,Paul Verhoeven,"Arnold Schwarzenegger, Sharon Stone, Michael Ironside, Rachel Ticotin"
147,The Ranch,7.5,,"Ashton Kutcher, Sam Elliott, Grady Lee Richmond, Elisha Cuthbert"
148,Twins,6.1,Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Kelly Preston, Chloe Webb"
149,Doc Martin,8.3,,"Martin Clunes, Caroline Catz, Ian McNeice, Joe Absolom"
150,Sky High,6.2,Mike Mitchell,"Kurt Russell, Kelly Preston, Michael Angarano, Danielle Panabaker"
151,Annihilation,6.9,Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong"
152,Kids,7.1,Larry Clark,"Leo Fitzpatrick, Justin Pierce, Chloë Sevigny, Sarah Henderson"
153,Coming 2 America,,Craig Brewer,"Eddie Murphy, Arsenio Hall, Jermaine Fowler, Leslie Jones"
154,The Good Wife,8.3,,"Julianna Margulies, Chris Noth, Josh Charles, Matt Czuchry"
155,Free Guy,,Shawn Levy,"Ryan Reynolds, Jodie Comer, Taika Waititi, Joe Keery"
156,Logan,8.1,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
157,Modern Love,8.0,,"Anne Hathaway, Tina Fey, Andy Garcia, Dev Patel"
158,The Grand Budapest Hotel,8.1,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody"
159,Snatch,8.3,Guy Ritchie,"Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina"
160,The Revenant,8.0,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson"
161,Cutie Blonde,6.3,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis"
162,Silicon Valley,8.5,,"Thomas Middleditch, T.J. Miller, Josh Brener, Martin Starr"
163,RocknRolla,7.3,Guy Ritchie,"Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton"
164,E.T. the Extra-Terrestrial,7.8,Steven Spielberg,"Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace"
165,X: First Class,7.7,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon"
166,Unbelievable!!!!!,4.7,Steven L. Fawcette,"Snoop Dogg, Garrett Wang, Chase Masterson, Tim Russ"
167,Burêdo rannâ,8.1,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos"
168,Pairêtsu obu Karibian: Inochi no izumi,6.6,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush"
169,Into the Wild,8.1,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
170,Greenland,6.6,Ric Roman Waugh,"Gerard Butler, Morena Baccarin, David Denman, Scott Glenn"
171,TURN,8.1,,"Jamie Bell, Heather Lind, Samuel Roukin, Daniel Henshall"
172,Harii Pottâ to nazo no purinsu,7.6,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
173,Psycho,8.5,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
174,Casino,8.2,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods"
175,エターナル・サンシャイン,8.3,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne"
176,Lady Bird,7.4,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges"
177,Irresistible,6.2,Jon Stewart,"Steve Carell, Rose Byrne, Chris Cooper, Brent Sexton"
178,ラブ・アクチュアリー,7.6,Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney"
179,The Man from U.N.C.L.E.,7.3,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki"
180,Sukurimu,7.2,Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Skeet Ulrich"
181,Kuraudo Atorasu,7.4,,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving"
182,Murder Mystery,6.0,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans, Terence Stamp"
183,"Crazy, Stupid, Love.",7.4,,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone"
184,The Call of the Wild,6.8,Chris Sanders,"Harrison Ford, Omar Sy, Cara Gee, Dan Stevens"
185,The 40 Year Old Virgin,7.1,Judd Apatow,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco"
186,Troy,7.2,Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover"
187,The Goldfinch,6.3,John Crowley,"Oakes Fegley, Ansel Elgort, Nicole Kidman, Jeffrey Wright"
188,The Stranger,7.3,,"Richard Armitage, Shaun Dooley, Siobhan Finneran, Jacob Dudman"
189,Crawl,6.2,Alexandre Aja,"Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson"
190,Deadwood,8.6,,"Timothy Olyphant, Ian McShane, Molly Parker, Brad Dourif"
191,Road House,6.6,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
192,The King,7.2,David Michôd,"Tom Glynn-Carney, Gábor Czap, Tom Fisher, Edward Ashley"
193,Baywatch,5.5,Seth Gordon,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra"
194,The Twilight Saga: Breaking Dawn - Part 2,5.5,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli"
195,The Equalizer,7.2,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
196,The VVitch: A New-England Folktale,6.9,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings"
197,Arthur,6.9,Steve Gordon,"Dudley Moore, Liza Minnelli, John Gielgud, Geraldine Fitzgerald"
198,Jerry Maguire,7.3,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston"
199,When Calls the Heart,8.2,,"Erin Krakow, Martin Cummins, Pascale Hutton, Jack Wagner"
