,names,rates,director,actors
0,Marriage Story,8.0,Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson"
1,Sense8,8.3,,"Doona Bae, Jamie Clayton, Tina Desai, Tuppence Middleton"
2,Shiryô-kan,7.5,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor"
3,Twister,6.4,Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz"
4,NCIS: New Orleans,6.8,,"Scott Bakula, Rob Kerkovich, CCH Pounder, Daryl Mitchell"
5,Point Break,7.3,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
6,Tag,6.5,Jeff Tomsic,"Jeremy Renner, Ed Helms, Jake Johnson, Jon Hamm"
7,Capone,4.7,Josh Trank,"Tom Hardy, Linda Cardellini, Matt Dillon, Al Sapienza"
8,Ex Machina,7.7,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno"
9,Enterprise,7.5,,"Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating"
10,The Alienist: Angel of Darkness,,,
11,CSI: Miami,6.4,,"David Caruso, Emily Procter, Adam Rodriguez, Rex Linn"
12,Homecoming,7.5,,"Stephan James, Bobby Cannavale, Hong Chau, Alex Karpovsky"
13,The Protector,6.8,,"Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Burçin Terzioglu"
14,Sea Fever,5.7,Neasa Hardiman,"Hermione Corfield, Dag Malmberg, Jack Hickey, Olwen Fouéré"
15,What We Do in the Shadows,7.7,,"Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh"
16,Battlestar Galactica,8.7,,"Edward James Olmos, Mary McDonnell, Jamie Bamber, James Callis"
17,Ramy,8.0,,"Ramy Youssef, Amr Waked, Mohammed Amer, Hiam Abbass"
18,Moeyo doragon,7.7,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri"
19,Rambo: Last Blood,6.2,Adrian Grunberg,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza"
20,The O.C.,7.5,,"Mischa Barton, Adam Brody, Peter Gallagher, Kelly Rowan"
21,Kureiji Ricchi!,6.9,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan"
22,Tamineta,8.0,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
23,Never Have I Ever,8.0,,"Maitreyi Ramakrishnan, Darren Barnet, Jaren Lewison, Richa Moorjani"
24,Dolittle,5.6,Stephen Gaghan,"Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent"
25,Me Before You,7.4,Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance"
26,The Hitman's Bodyguard,6.9,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung"
27,Poldark,8.3,,"Aidan Turner, Eleanor Tomlinson, Jack Farthing, Beatie Edney"
28,Spenser Confidential,6.2,Peter Berg,"Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger"
29,Downton Abbey,7.4,Michael Engler,"Stephen Campbell Moore, Michael Fox, Lesley Nicol, Sophie McShera"
30,American Beauty,8.3,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
31,Castle Rock,7.6,,"Bill Skarsgård, André Holland, Lizzy Caplan, Melanie Lynskey"
32,Star Wars: Saigo no Jedi,7.0,Rian Johnson,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher"
33,Elementary,7.9,,"Jonny Lee Miller, Lucy Liu, Aidan Quinn, Jon Michael Hill"
34,Event Horizon,6.7,Paul W.S. Anderson,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson"
35,Game Night,6.9,,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan"
36,Grace and Frankie,8.3,,"Lily Tomlin, Jane Fonda, Sam Waterston, Martin Sheen"
37,Sesshon,8.5,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
38,Unsolved Mysteries,7.4,,"Pistol Black, Jane Green, Anne-Sophie Martin, Brandi Petersen"
39,Gunsmoke,7.9,,"James Arness, Milburn Stone, Amanda Blake, Ken Curtis"
40,Doctor Strange,7.5,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong"
41,Iron Man Three,7.2,Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle"
42,Color Out of Space,6.2,Richard Stanley,"Nicolas Cage, Joely Richardson, Madeleine Arthur, Elliot Knight"
43,Toi Sutôrî 4,7.8,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale"
44,Sex and the City,7.1,,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon"
45,Mean Girls,7.0,Mark Waters,"Lindsay Lohan, Jonathan Bennett, Rachel McAdams, Tina Fey"
46,There Will Be Blood,8.2,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer"
47,The King's Man,,Matthew Vaughn,"Gemma Arterton, Daniel Brühl, Ralph Fiennes, Aaron Taylor-Johnson"
48,Batwoman,3.6,,"Ruby Rose, Camrus Johnson, Rachel Skarsten, Meagan Tandy"
49,Mystery Zone,9.0,,"Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor"
50,Cobra Kai,8.8,,"Xolo Maridueña, Ralph Macchio, William Zabka, Courtney Henggeler"
51,Harii Pottâ to himitsu no heya,7.4,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris"
