,names,rates,director,actors
0,Star Wars: Episode IX - The Rise of Skywalker,6.6,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver"
1,Prodigal Son,7.7,,"Tom Payne, Lou Diamond Phillips, Halston Sage, Aurora Perrineau"
2,The King of Staten Island,7.2,Judd Apatow,"Pete Davidson, Bel Powley, Ricky Velez, Lou Wilson"
3,The Big Ugly,4.2,Scott Wiper,"Vinnie Jones, Malcolm McDowell, Ron Perlman, Nicholas Braun"
4,Two and a Half Men,7.0,,"Jon Cryer, Ashton Kutcher, Angus T. Jones, Conchata Ferrell"
5,Jumanji: The Next Level,6.7,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan"
6,The Marvelous Mrs. Maisel,8.7,,"Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle"
7,Outer Banks,7.6,,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss"
8,The Great,8.1,,"Elle Fanning, Nicholas Hoult, Phoebe Fox, Sacha Dhawan"
9,Jack Ryan,8.1,,"John Krasinski, Wendell Pierce, John Hoogenakker, Abbie Cornish"
10,Bosch,8.4,,"Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick"
11,The West Wing,8.8,,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer"
12,No Time to Die,,Cary Joji Fukunaga,"Ana de Armas, Daniel Craig, Léa Seydoux, Ralph Fiennes"
13,The Order,6.8,,"Jake Manley, Sarah Grey, Adam DiMarco, Louriza Tronco"
14,Shining,8.4,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
15,ライン・オブ・デューティ,8.6,,"Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson"
16,Breathe: Into the Shadows,7.8,,"Abhishek Bachchan, Nithya Menen, Amit Sadh, Ivana Kaur"
17,The Godfather: Part II,9.0,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
18,The Outsider,7.9,,"Ben Mendelsohn, Bill Camp, Jeremy Bobb, Mare Winningham"
19,Scrubs,8.3,,"Zach Braff, Donald Faison, Sarah Chalke, John C. McGinley"
