,names,rates,director,actors
0,Kyabin,7.0,Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz"
1,Koi no kara sawagi,7.3,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik"
2,Sutâ wôzu: Fôsu no kakusei,7.9,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson"
3,Hanna,6.8,Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps"
4,Locke & Key,7.4,,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott"
5,Angel Has Fallen,6.4,Ric Roman Waugh,"Gerard Butler, Frederick Schmidt, Danny Huston, Rocci Williams"
6,Heroes,7.5,,"Jack Coleman, Hayden Panettiere, Milo Ventimiglia, Masi Oka"
7,ロード・オブ・ザ・リング 二つの塔,8.7,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
8,The Peanut Butter Falcon,7.6,,"Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern"
9,Force of Nature,4.4,Michael Polish,"Emile Hirsch, Mel Gibson, David Zayas, Kate Bosworth"
10,007 wa nido shinu,6.9,Lewis Gilbert,"Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsurô Tanba"
11,Power,8.2,,"Omari Hardwick, Lela Loren, Naturi Naughton, Joseph Sikora"
12,300,7.6,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
13,The Big Short,7.8,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt"
14,Gods of Egypt,5.4,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman"
15,I'm Sorry.,7.9,,"Andrea Savage, Tom Everett Scott, Olive Petrucci, Kathy Baker"
16,Midnight in Paris,7.7,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller"
17,The Help,8.0,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard"
18,Bird Box,6.6,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson"
19,Weeds,7.9,,"Mary-Louise Parker, Hunter Parrish, Alexander Gould, Kevin Nealon"
20,Shadowhunters: The Mortal Instruments,6.6,,"Katherine McNamara, Dominic Sherwood, Alberto Rosende, Matthew Daddario"
21,Spider-Man,7.3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco"
22,Fauda,8.2,,"Lior Raz, Itzik Cohen, Neta Garty, Rona-Lee Shim'on"
23,Anna,6.6,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy"
