Unnamed: 0,names,rates,director,actors
184,Atomic Blonde,6.7,David Leitch,"Charlize Theron, James McAvoy, John Goodman, Eddie Marsan"
185,The Shield,8.7,,"Michael Chiklis, Catherine Dent, Walton Goggins, Michael Jace"
186,Happy Days,7.4,,"Ron Howard, Henry Winkler, Marion Ross, Tom Bosley"
187,The Nun,5.3,Corin Hardy,"Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons"
188,Star Wars: Rebels,8.0,,"Taylor Gray, Dave Filoni, Vanessa Marshall, Freddie Prinze Jr."
189,The Master,7.2,Paul Thomas Anderson,"Philip Seymour Hoffman, Joaquin Phoenix, Amy Adams, Jesse Plemons"
190,Children of Men,7.9,Alfonso Cuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine"
191,Sleepless in Seattle,6.8,Nora Ephron,"Tom Hanks, Meg Ryan, Ross Malinger, Rita Wilson"
192,Big Mouth,8.0,,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas"
193,Cats,2.7,Tom Hooper,"James Corden, Judi Dench, Jason Derulo, Idris Elba"
194,Dirilis: Ertugrul,7.8,,"Engin Altan Düzyatan, Hülya Darcan, Cengiz Coskun, Nurettin Sönmez"
195,The Patriot,7.2,Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs"
196,Hagane no renkinjutsushi,9.1,,"Kent Williams, Iemasa Kayumi, Vic Mignogna, Muriel Hofmann"
197,Clash of the Titans,6.9,Desmond Davis,"Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith"
198,Misfits,8.2,,"Nathan Stewart-Jarrett, Joseph Gilgun, Iwan Rheon, Lauren Socha"
199,Little Miss Sunshine,7.8,,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin"
